,week,total_sequences,cluster_sequences,country,nextclade_variant,variant_prop,variant
18,2021-01-18,551,1,Philippines,20H_Beta_V2,0.0018148820326678765,Beta
19,2021-02-01,376,19,Philippines,20H_Beta_V2,0.05053191489361702,Beta
13,2020-11-23,41,1,Malaysia,20H_Beta_V2,0.024390243902439025,Beta
18,2021-02-01,87,2,Malaysia,20H_Beta_V2,0.022988505747126436,Beta
10,2020-12-21,3,2,Vietnam,20I_Alpha_V1,0.6666666666666666,Alpha
11,2021-01-04,2,2,Vietnam,20I_Alpha_V1,1.0,Alpha
15,2020-12-07,262,1,Philippines,20I_Alpha_V1,0.003816793893129771,Alpha
16,2020-12-21,201,4,Philippines,20I_Alpha_V1,0.01990049751243781,Alpha
15,2020-12-21,36,1,Malaysia,20I_Alpha_V1,0.027777777777777776,Alpha
17,2021-01-18,133,1,Malaysia,20I_Alpha_V1,0.007518796992481203,Alpha
17,2021-04-12,6,2,Vietnam,21A_Delta,0.3333333333333333,Delta
18,2021-04-26,83,1,Vietnam,21A_Delta,0.012048192771084338,Delta
24,2021-04-12,281,1,Philippines,21A_Delta,0.0035587188612099642,Delta
25,2021-04-26,391,10,Philippines,21A_Delta,0.02557544757033248,Delta
24,2021-04-26,139,1,Malaysia,21A_Delta,0.007194244604316547,Delta
25,2021-05-10,80,4,Malaysia,21A_Delta,0.05,Delta
34,2021-12-20,237,41,Vietnam,21K_Omicron,0.1729957805907173,Omicron_BA1
35,2022-01-03,245,109,Vietnam,21K_Omicron,0.4448979591836735,Omicron_BA1
39,2021-11-08,17,1,Philippines,21K_Omicron,0.058823529411764705,Omicron_BA1
40,2021-11-22,6,5,Philippines,21K_Omicron,0.8333333333333334,Omicron_BA1
38,2021-11-08,417,1,Malaysia,21K_Omicron,0.002398081534772182,Omicron_BA1
39,2021-11-22,491,3,Malaysia,21K_Omicron,0.006109979633401222,Omicron_BA1
34,2021-12-20,237,2,Vietnam,21L_Omicron,0.008438818565400843,Omicron_BA2
35,2022-01-03,245,5,Vietnam,21L_Omicron,0.02040816326530612,Omicron_BA2
40,2021-11-22,6,1,Philippines,21L_Omicron,0.16666666666666666,Omicron_BA2
41,2021-12-06,26,1,Philippines,21L_Omicron,0.038461538461538464,Omicron_BA2
41,2021-12-20,1132,5,Malaysia,21L_Omicron,0.00441696113074205,Omicron_BA2
42,2022-01-03,642,34,Malaysia,21L_Omicron,0.0529595015576324,Omicron_BA2
46,2022-06-06,72,2,Vietnam,22A_Omicron,0.027777777777777776,Omicron_BA4
47,2022-06-20,110,1,Vietnam,22A_Omicron,0.00909090909090909,Omicron_BA4
51,2022-04-25,61,1,Philippines,22A_Omicron,0.01639344262295082,Omicron_BA4
53,2022-05-23,115,6,Philippines,22A_Omicron,0.05217391304347826,Omicron_BA4
49,2022-04-11,1232,1,Malaysia,22A_Omicron,0.0008116883116883117,Omicron_BA4
52,2022-05-23,642,3,Malaysia,22A_Omicron,0.004672897196261682,Omicron_BA4
44,2022-05-09,95,4,Vietnam,22B_Omicron,0.042105263157894736,Omicron_BA5
45,2022-05-23,56,3,Vietnam,22B_Omicron,0.05357142857142857,Omicron_BA5
45,2022-01-31,988,1,Philippines,22B_Omicron,0.0010121457489878543,Omicron_BA5
49,2022-03-28,65,1,Philippines,22B_Omicron,0.015384615384615385,Omicron_BA5
47,2022-03-14,3892,4,Malaysia,22B_Omicron,0.0010277492291880781,Omicron_BA5
48,2022-03-28,1328,6,Malaysia,22B_Omicron,0.004518072289156626,Omicron_BA5
